pages,sec,repeated,timed_out,chars,osti_id
4,17.94,1,0,14060,010_BVBRC-100__30c687df28a920da721b4b237
4,14.64,2,0,13105,024_BVBRC-100__5c647b3baf054be90bb5a0fb4
5,27.83,0,0,20461,005_BVBRC-100__261b5503c1e0226e26c88e5da
5,18.9,2,0,13186,021_BVBRC-100__4c25639a25e7a900bc1eeff83
5,33.54,0,0,23508,007_BVBRC-100__2cdbc13fd7182bf95f0a3b530
5,25.71,0,0,19320,023_BVBRC-100__50d8ee88661fba542ba2014dc
6,39.49,0,0,34327,017_BVBRC-100__409697882b023096cae22cd66
6,37.05,0,0,33553,003_BVBRC-100__14a4c23c1e078ae872f30c018
6,26.25,1,0,20451,019_BVBRC-100__4374b7439d505f85f42007805
7,41.15,0,0,30006,016_BVBRC-100__3e170990153468c27fb62dfc9
7,35.04,1,0,30672,027_BVBRC-100__6dad16a6941b204c2f5f95d9c
7,26.58,2,0,16780,006_BVBRC-100__2b375974b7236a45ecae7ef65
7,29.96,0,0,28755,022_BVBRC-100__4e1062ebdc5c60028b7b09e8d
8,31.76,2,0,15565,026_BVBRC-100__66d73eb77830a8437bc4c5522
8,39.69,1,0,43395,018_BVBRC-100__436aaaee76612bbf500c0226e
8,43.23,0,0,35145,004_BVBRC-100__201c232388254e4e84adc02b7
8,40.57,0,0,41787,020_BVBRC-100__46d16240ea487dda68a293dd6
9,43.34,0,0,34270,000_BVBRC-100__06871b20216b58eb0da78689f
9,54.48,0,0,42863,011_BVBRC-100__3567e0538539007625ed69eea
9,39.99,4,0,29184,012_BVBRC-100__3681c37a6e39f1001b80fdd1e
9,47.26,0,0,38619,013_BVBRC-100__37a5257e05e3104e20016632f
9,32.96,2,0,25003,030_BVBRC-100__72b3a3744ddedc2b5aefd1bc7
10,46.1,2,0,37277,031_BVBRC-100__8084d605788f99dc785da7a2b
11,54.45,1,0,44716,008_BVBRC-100__30b0c9b741fe5a6034fc9b6c9
12,54.5,1,0,50306,028_BVBRC-100__702b5b7832f439d024d8fda91
12,46.96,2,0,40095,029_BVBRC-100__703bc55a1d37a9dad0e9a8750
12,62.39,1,0,42337,014_BVBRC-100__387ce4b4978ab8d4db39bd9c3
12,63.5,0,0,56013,015_BVBRC-100__3ad0c2b523a0f831c907af09e
12,71.18,0,0,60881,001_BVBRC-100__0c1ba07dcc0b4854201d61408
12,56.53,1,0,47656,002_BVBRC-100__0d95983c96aea9f149474d197
12,34.36,4,0,25508,009_BVBRC-100__30c4d3c6642f533cde270e4e8
12,65.27,0,0,49483,025_BVBRC-100__6694a0ddd3a47d05d07da56fa
